Season,Fragment,Area_m2,Perimeter_m,Shape_fractalD,PC1,PC2,PC3,PC4
2000,OldValparai,413100,4504.4459,1.086734826486796,0.3978386576177403,-0.6578432167110768,0.3132799281454989,-0.47783397535056826
2000,Akkamalai_Iyerpadi,43099800,136575.6259,1.1875899932378462,-2.5517788196842743,-0.6831400501372382,-0.3727792001366887,0.9072100363825697
2000,Varatuparai123,125200,2744.1716,1.1128173514855875,0.6234631516146872,-1.2308695646980725,-0.876820639172198,-0.4811977927385807
2000,Varatuparai4,38500,1676.2152,1.1437323042972332,1.8047542400774965,-0.8076735564985429,-0.08101322158892493,1.000298149700988
2000,Selaliparai1,22200,936.4225,1.0902988610502369,1.8460310341943744,0.007760864888614272,1.6668286641435615,1.6417950660167189
2000,Selaliparai2,6700,359.7341,1.0213713620068112,-0.8672862147411733,-0.7748341793764002,1.47861419893078,0.5797388970036685
2000,Andiparai,3270000,16621.0744,1.110928721246818,-1.0231087242913608,-0.6011840410311,0.13042251497568377,-0.47113272398832207
2000,Korangamudi,733200,4665.1673,1.0457599023225304,4.2728639031190125,-0.7886149354698092,0.4908677508155996,1.6267495556842186
2000,Pannimade,921300,7447.913,1.0964972223068552,0.4091365845509238,0.12310950692864432,-0.60878162044899,-0.6057103572743378
2000,Manamboly,1749500,11653.4501,1.1098645789595953,-2.5591059574969166,-0.8405175186592182,1.0402948690942986,0.2208713558069569
2000,Varagaliar,14110900,43267.566,1.1284905521481532,0.3923097018628435,-3.1636199488271592,-3.119204442549952,0.5614795277153786
2000,Puduthottam,1130800,6052.1937,1.0506030618115982,1.4070185693925803,-1.3173951929363992,0.4999465154686227,-0.7214981683556007
2000,Karian-Shola,8542700,22397.7708,1.081466739148521,-2.2359809985373853,-0.07914710691929241,-0.5105108966449433,-0.395327333574923
2002,Puduthottam,1130800,6052.1937,1.0506030618115982,1.4070185693925803,-1.3173951929363992,0.4999465154686227,-0.7214981683556007
2002,OldValparai,413100,4504.4459,1.086734826486796,0.3978386576177403,-0.6578432167110768,0.3132799281454989,-0.47783397535056826
2002,Injiparai,189800,2290.384,1.0449767126010812,1.6945606636974355,-0.9941568835964525,0.15612357222449152,-0.9553981743079414
2002,Akkamalai_Iyerpadi,43099800,136575.6259,1.1875899932378462,-2.5517788196842743,-0.6831400501372382,-0.3727792001366887,0.9072100363825697
2002,Manamboly,1749500,11653.4501,1.1098645789595953,-2.5591059574969166,-0.8405175186592182,1.0402948690942986,0.2208713558069569
2002,Korangamudi,733200,4665.1673,1.0457599023225304,4.2728639031190125,-0.7886149354698092,0.4908677508155996,1.6267495556842186
2002,Sankarankudi,2524900,11857.56,1.0845994750215677,0.7862846737745339,-1.8078573432992815,0.7581553736948226,-1.3781509973259296
2002,Andiparai,3270000,16621.0744,1.110928721246818,-1.0231087242913608,-0.6011840410311,0.13042251497568377,-0.47113272398832207
2004,Akkamalai_Iyerpadi,43099800,136575.6259,1.1875899932378462,-2.5517788196842743,-0.6831400501372382,-0.3727792001366887,0.9072100363825697
2004,Puduthottam,1130800,6052.1937,1.0506030618115982,1.4070185693925803,-1.3173951929363992,0.4999465154686227,-0.7214981683556007
2004,Injiparai,189800,2290.384,1.0449767126010812,1.6945606636974355,-0.9941568835964525,0.15612357222449152,-0.9553981743079414
2004,Korangamudi,733200,4665.1673,1.0457599023225304,4.2728639031190125,-0.7886149354698092,0.4908677508155996,1.6267495556842186
2004,OldValparai,413100,4504.4459,1.086734826486796,0.3978386576177403,-0.6578432167110768,0.3132799281454989,-0.47783397535056826
2004,Manamboly,1749500,11653.4501,1.1098645789595953,-2.5591059574969166,-0.8405175186592182,1.0402948690942986,0.2208713558069569
2003,Puduthottam,1130800,6052.1937,1.0506030618115982,1.4070185693925803,-1.3173951929363992,0.4999465154686227,-0.7214981683556007
2003,Injiparai,189800,2290.384,1.0449767126010812,1.6945606636974355,-0.9941568835964525,0.15612357222449152,-0.9553981743079414
2003,Akkamalai_Iyerpadi,43099800,136575.6259,1.1875899932378462,-2.5517788196842743,-0.6831400501372382,-0.3727792001366887,0.9072100363825697
2005,Varatuparai123,125200,2744.1716,1.1128173514855875,0.47659300368699964,-0.42495876383593634,-0.034484850506797726,0.15467459483705037
2005,Andiparai,3270000,16621.0744,1.110928721246818,-1.0336095908607172,-0.6191091606657839,0.11611249939286089,-0.3958123457687145
2005,Akkamalai_Iyerpadi,43099800,136575.6259,1.1875899932378462,-2.682574020574861,-0.8534693743962023,0.28321189330265123,0.2185562798263406
2005,OldValparai,413100,4504.4459,1.086734826486796,-0.548614341383759,-0.5190678501279069,0.8078121276403794,-0.6279640752760185
2005,Injiparai,189800,2290.384,1.0449767126010812,1.6015257481171719,0.12184700570613949,1.14297758019706,-0.9066573511043586
2005,Pannimade,921300,7447.913,1.0964972223068552,-1.5161897549879404,-0.8910425453049716,0.48548381386281475,-2.2040650067587606
2005,Manamboly,1749500,11653.4501,1.1098645789595953,-1.4580822394522117,-0.966243943931065,0.6415694665307436,0.10766591624790925
2005,Korangamudi,733200,4665.1673,1.0457599023225304,1.7545407287675547,-0.06370095230240735,1.1887820010461037,-0.8779744298909851
2005,Puduthottam,1130800,6052.1937,1.0506030618115982,0.4780947596931738,0.4706082367444906,1.2557737174238846,-0.47056404301112004
2019,Selaliparai1,22200,936.4225,1.0902988610502369,0.11431946734733035,0.8342872059021181,0.7164274276683961,-0.783957816254728
2019,Akkamalai_Iyerpadi,43099800,136575.6259,1.1875899932378462,-1.7487398450723965,0.3752720241761951,-0.8183571257182732,0.08187703707345664
2019,Andiparai,3270000,16621.0744,1.110928721246818,-1.6618443465299673,1.0031215517897287,-0.1902267272310578,1.079221637971788
2019,Selaliparai2,6700,359.7341,1.0213713620068112,0.5829959822581291,-0.6136712269425314,-0.10324720575541152,1.9633718914332177
2019,Korangamudi,733200,4665.1673,1.0457599023225304,1.346653690112047,2.2440512347045942,0.15045558349858024,-0.8149644028693117
2019,Pannimade,921300,7447.913,1.0964972223068552,-1.3570884425929861,0.6986958943232549,-0.7523343139687261,0.011542409739469933
2019,Iyerpadi-Top,1039100,9248.8825,1.1182386092397347,-0.522233885364177,0.7092158050804027,-0.8387137513702301,0.930961330961451
2019,OldValparai,413100,4504.4459,1.086734826486796,-0.2755280580034075,0.8504209212168061,-0.963514791549974,0.08679655155613965
2019,Murugaali-BlackBridge,157900,2582.9107,1.0811245998432943,1.02145950832878,2.773103581553136,-0.02757009766173546,0.5979805092746613
2019,Candura,1033000,10502.9635,1.137078426397457,2.0992611286312917,-0.6896932715992414,-0.6584785070955732,0.5357942475014789
2019,Murugaali-Sholayar,1024300,13196.0889,1.1707604601884292,1.6081612456399206,0.49273397663869983,-1.3990182443236547,-0.09634112508208383
2019,Manamboly,1749500,11653.4501,1.1098645789595953,-1.7001004610675103,0.37629331814286804,-0.9684295341391183,-0.198960495466496
2019,Varatuparai123,125200,2744.1716,1.1128173514855875,-0.39084974893492436,0.9155695070092302,0.49398514246937025,1.0428780950377692
2019,Puduthottam,1130800,6052.1937,1.0506030618115982,0.7054910571106876,3.8392683683369704,-0.9622755901146319,-0.899521816191591
2019,Varatuparai4,38500,1676.2152,1.1437323042972332,-2.087184228879075,1.136818889226751,2.2879566834407536,1.153887036918399
2019,Injiparai,189800,2290.384,1.0449767126010812,0.5230683540627541,0.9648521629842852,-1.0792565146943809,-1.3507859473224928
2019,Karian-Shola,8542700,22397.7708,1.081466739148521,1.0186080833504751,0.4150366629925658,-0.5583625643603933,-0.3089300845870892
2019,Varagaliar,14110900,43267.566,1.1284905521481532,-0.7451342585528901,1.0357439089205913,-1.1817014849353027,0.9193983358103313
