"Year","Location","no_pts","treedensity_ha","treebasal_m2perha","treedensity_lci","treedensity_uci","treebasal_lci","treebasal_uci","type","specrich_naive","specrich_invS","specrich_minstem","specrich_invS_minstem","specrich_minstem_sd","specrich_invS_minstem_sd","leaflitter_m","leaflitter_sd","canopyc_m","canopyc_sd","vstrata_m","vstrata_sd","shrub_m","shrub_sd","cane_m","cane_sd"
2000,"Akkamalai_Iyerpadi",30,697.3,73.8,581.6,833,61.5,88.1,"PCQ",42,27.8,18.9,14.8,1.9,2.3,6,2.5,98.5,2.9,5,1.5,9.5,3.5,0,0.5
2000,"Andiparai",25,431.5,83.6,353.6,524.2,68.6,101.6,"PCQ",34,17.6,16.2,11.6,2,2.2,4.5,2.5,97,3.3,5,1.2,28,15,0,0.5
2000,"Karian-Shola",25,755.4,94.9,619.1,917.8,77.8,115.3,"PCQ",40,24,18.1,13.7,2,2.2,3.5,1.5,98.5,0.8,5,1.2,23,12.1,0,0.4
2000,"Korangamudi",25,195.6,30.9,160.3,237.6,25.4,37.6,"PCQ",24,7.7,11.9,6.8,1.7,1.7,2.5,1.2,73,15.8,3,1,8,14.5,0,0
2000,"Manamboly",25,582.5,113.3,477.4,707.7,92.8,137.6,"PCQ",35,17.7,16.2,11.6,2,2.1,6,3.1,97,7.2,5,1.4,11,5.4,0,0.5
2000,"OldValparai",15,331.2,39.6,255.8,425.9,30.6,51,"PCQ",25,7.2,13.4,6.4,1.8,2,4.5,2.3,99,6.2,5,1.2,11,4.6,0,0.2
2000,"Pannimade",10,534.2,46.3,388.4,726.9,33.7,63,"PCQ",20,13,13.4,9.3,1.6,1.6,3,0.7,93,4,5,1.2,33,14.8,0,0.2
2000,"Puduthottam",25,238.7,52,195.7,290.1,42.6,63.1,"PCQ",25,9.6,12.4,7.7,1.7,1.7,3.5,1.9,90,6.3,5,1.1,7,3.9,0,0
2000,"Varatuparai123",10,294.9,32.6,214.4,401.3,23.7,44.4,"PCQ",29,23.5,17.5,13.6,1.8,2,3.5,1.1,97,4.3,5,1.4,12,3.7,0,0.5
2002,"Injiparai",20,314.9,50.1,252,391.5,40.1,62.3,"PCQ",23,8.3,11.9,7,1.8,1.6,2.5,0.6,88,8,5,1.2,12,6.4,0,0
2002,"Kalyanapandal",20,301.3,45.2,241.1,374.6,36.2,56.2,"PCQ",32,14.5,15.6,10.4,1.9,2.3,NA,NA,92.8,13.1,4,2.4,11,9.2,1,0.5
2002,"OldValparai_Coffee",20,465.6,29.3,372.5,578.8,23.4,36.4,"PCQ",3,1.6,2.6,1.6,0.5,0.2,3,0.9,85,5.1,5,0.8,0,0,0,0
2002,"Puduthottam_Coffee",20,130.6,24.6,104.5,162.3,19.7,30.6,"PCQ",13,5.9,9.3,5.3,1.3,1.2,3,0.9,82,9.9,5,0.9,0,3.4,0,0
2002,"SangliRoad",20,420.1,72,336.1,522.2,57.6,89.5,"PCQ",36,18,16.8,11.8,2,2.5,NA,NA,98,2.3,5,1.3,21,8.3,1,0.5
2002,"Sankarankudi",20,229.2,88.4,183.4,285,70.7,109.9,"PCQ",25,15,14.5,10.3,1.8,1.7,2.5,1.3,91,10.3,5,1.2,0,0,0,0
2002,"Surulimalai_Coffee",20,196.5,15.5,157.2,244.3,12.4,19.2,"PCQ",2,1,1.3,1,0.5,0,3.5,2.1,58,25.8,3,1,0,0,0,0
2002,"TataFinley_Coffee",20,124.4,48.2,99.5,154.7,38.5,59.9,"PCQ",16,3.2,8.5,3.2,1.5,0.9,3.5,1.2,85,9.4,5,0.9,0,0.7,0,0
2000,"Selaliparai1",10,369.2,50.4,NA,NA,NA,NA,"plot",11,8.3,9.5,6.8,1,1.1,5.2,1.1,84,11.9,3.5,1.1,10.5,3.2,1,0.4
2000,"Selaliparai2",9,410.3,106.4,NA,NA,NA,NA,"plot",15,5,10.5,4.8,1.5,1.4,5,2.5,94.5,13.3,4,1.3,6,2.3,0,0.3
2000,"Varatuparai4",10,483.8,52.9,NA,NA,NA,NA,"plot",20,14.2,13.8,10,1.6,1.6,2.8,1.1,78.5,8.2,4,1.3,6.5,1.8,0,0.3
2002,"Eucalyptus_Plantation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,19,12.9,4,1.2,18,11.1,0,0
2002,"SivaCoffee",25,264.8,20.1,314.6,215.1,24,16.2,"plot",7,1.8,4.5,1.8,1,0.3,2.5,1.5,38,16.2,3,1.1,0,0,0,0
2000,"Varagaliar",NA,446.1,36.3,NA,NA,NA,NA,"plot",148,28.9,21.7,17.1,2.2,3.1,3.5,1.5,73,7,6,1,14,8.3,0,0.5
2005,"Akkamalai_Iyerpadi",51,528.8,103.1,460.3,606.1,89.8,118.2,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,0.3,5,1.2,21,10.8,0,0.5
2005,"Andiparai",25,471.7,70.3,386.6,573.1,57.6,85.4,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,0.3,5,1.5,15,7.9,0,0.5
2005,"Injiparai",24,267.2,54.6,218.1,325.9,44.6,66.6,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,2,4,1.4,12.5,8.9,0,0
2005,"Korangamudi",25,243.4,52.5,199.5,295.7,43,63.8,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,99.5,7.6,4,1.5,8,5.8,0,0
2005,"Manamboly",25,409.7,76.7,335.8,497.8,62.9,93.2,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,0.2,5,1.1,11,7.2,0,0.5
2005,"OldValparai",24,434.9,68.6,354.9,530.5,56,83.7,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,2.4,5,1.2,9,4.4,0,0.3
2005,"Pannimade",26,561.5,98,462,679.7,80.6,118.6,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,0.4,6,1.7,9,5.3,0,0.2
2005,"Puduthottam",25,377.7,72.8,309.6,459,59.7,88.4,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,1.9,4,1.4,23,11.4,0,0
2005,"Varatuparai123",15,349.1,48.6,269.6,448.9,37.5,62.5,"PCQ",NA,NA,NA,NA,NA,NA,NA,NA,100,3,4,0.8,10,5.9,0,0.4
2019,"Akkamalai_Iyerpadi",25,524.6,71,429.9,637.4,58.2,86.2,"PCQ",39,20.6,17.6,12.9,2,2.5,5.5,2.6,99,1.9,5,1.4,61,22.6,0,0.3
2019,"Andiparai",25,722,70.2,591.7,877.2,57.5,85.3,"PCQ",40,19.4,17.2,12.3,2,2.4,5,3.3,100,3.4,4,1.1,36,18.4,0,0.3
2019,"Injiparai",12,444.9,44.2,332.9,589.3,33,58.5,"PCQ",24,11.3,13.8,8.7,1.8,1.9,2.5,1.9,98,2.8,5,1.3,66.5,23.5,0,0
2019,"Iyerpadi-Top",25,559.2,44.7,458.3,679.5,36.6,54.3,"PCQ",43,22.1,18,13.3,2,2.3,4.5,2.2,99,6.1,4,1.1,41,19.5,1,0.5
2019,"Karian-Shola",25,368.5,44.9,302,447.7,36.8,54.6,"PCQ",37,17.9,16.3,11.7,2,2.2,2.5,1.9,98,12.6,4,1.2,38,17,0,0
2019,"Korangamudi",25,551.2,47.2,451.8,669.7,38.7,57.3,"PCQ",20,3.4,9.5,3.5,1.7,1,2,1.8,97,9.8,4,1.4,63,34.2,0,0
2019,"Manamboly",25,503.2,76.7,412.4,611.3,62.8,93.1,"PCQ",42,24.6,18.2,13.9,1.9,2.3,5,1.9,99,2.9,5,1.6,66,24.9,0,0.4
2019,"Murugaali-BlackBridge",10,590.3,26.2,429.2,803.3,19.1,35.7,"PCQ",15,8.6,10.6,7,1.4,1.2,3.8,1.7,99,4.9,3.5,0.8,69,35.7,0,0
2019,"Murugaali-Sholayar",25,378.6,30.9,310.3,460,25.3,37.6,"PCQ",34,20.4,16.9,12.5,1.8,2.1,2,1.9,93,9.1,4,1.3,50,25.5,0,0
2019,"OldValparai",26,531.1,45.3,437,642.9,37.3,54.8,"PCQ",34,15.7,16.1,11,2,2.4,4,1.9,98,3.8,4.5,1.4,54.5,17.5,0,0
2019,"Pannimade",25,696.5,57.9,570.8,846.3,47.5,70.4,"PCQ",30,16.2,15.3,11,1.7,1.9,4.5,3.3,98,3.3,5,1,44,23.5,0,0
2019,"Puduthottam",25,553.7,60.1,453.8,672.8,49.3,73.1,"PCQ",25,4.5,10.6,4.3,1.8,1.3,2.5,1.9,96,5.2,4,1.5,138,24.3,0,0
2019,"Selaliparai1",11,472.6,87,348.9,633.9,64.2,116.6,"PCQ",20,14.7,13.7,10.2,1.5,1.6,2.5,2.5,99,4.9,4,1.4,37,24.3,0,0.5
2019,"Varagaliar",25,472,58.3,386.9,573.5,47.7,70.8,"PCQ",44,27,19,14.7,2,2.5,5,2.2,97,7.3,4,1.2,75,25.8,0,0.2
2019,"Varatuparai123",12,618,45.7,462.4,818.5,34.2,60.5,"PCQ",23,7.9,13.3,6.9,1.8,2,5.2,3.6,99,5.8,4,1.4,22.5,8.4,0,0
2019,"Varatuparai4",10,674.8,105.5,490.6,918.2,76.7,143.6,"PCQ",17,6.8,11,6.1,1.6,1.4,7,1.5,99,3,4,1.1,28,8.2,0,0
2019,"Selaliparai2",1,400,28,NA,NA,NA,NA,"plot",16,NA,NA,NA,NA,NA,6,NA,90,NA,4,NA,12,NA,1,NA
2018,"Candura",100,441.8,31.6,439.6,443.9,31.3,31.8,"plot",NA,12.6,15.3,9.6,2.2,2.2,NA,NA,85,20.4,4,0.8,4.4,4.4,0,0
