x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,x_backtrans,percent_change
-0.173925197,24.1156587,0.938629702,22.23128094,26.00003646,1,rarefied_richness,all,area,0.67,-5.500086979
0.346352974,23.93445724,0.735935864,22.45700435,25.41191014,1,rarefied_richness,all,area,2.22,..
0.58546073,23.85118127,0.647209471,22.55185404,25.15050849,1,rarefied_richness,all,area,3.85,..
1.097604329,23.6728129,0.475942168,22.71731913,24.62830667,1,rarefied_richness,all,area,12.52,..
1.19838213,23.63771421,0.447199156,22.73992444,24.53550398,1,rarefied_richness,all,area,15.79,..
1.278296208,23.60988189,0.426136426,22.75437732,24.46538646,1,rarefied_richness,all,area,18.98,..
1.616055195,23.49224786,0.360131549,22.7692536,24.21524211,1,rarefied_richness,all,area,41.31,..
1.865222456,23.40546837,0.343810378,22.71524024,24.09569651,1,rarefied_richness,all,area,73.32,..
1.964401071,23.37092664,0.346356365,22.67558722,24.06626606,1,rarefied_richness,all,area,92.13,..
2.010427173,23.35489676,0.349288909,22.65367002,24.05612351,1,rarefied_richness,all,area,102.43,..
2.014100322,23.35361748,0.349569729,22.65182697,24.055408,1,rarefied_richness,all,area,103.3,..
2.016657345,23.35272693,0.349769259,22.65053584,24.05491802,1,rarefied_richness,all,area,103.91,..
2.0533858,23.33993522,0.352997475,22.63126321,24.04860722,1,rarefied_richness,all,area,113.08,..
2.242913947,23.27392673,0.379699161,22.51164885,24.0362046,1,rarefied_richness,all,area,174.95,..
2.402244182,23.21843551,0.413283268,22.38873472,24.04813629,1,rarefied_richness,all,area,252.49,..
2.514547753,23.17932264,0.441773462,22.29242541,24.06621987,1,rarefied_richness,all,area,327,..
2.931595155,23.03407419,0.571033911,21.88767578,24.1804726,1,rarefied_richness,all,area,854.27,..
3.149554714,22.95816367,0.647965874,21.65731789,24.25900944,1,rarefied_richness,all,area,1411.09,..
3.634475255,22.7892765,0.831237378,21.12049783,24.45805517,1,rarefied_richness,all,area,4309.98,..
-0.173925197,14.82770283,0.55883042,13.70580395,15.94960171,1,rarefied_richness,rf,area,0.67,-1.737587968
0.346352974,14.79250518,0.438147796,13.91288677,15.67212358,1,rarefied_richness,rf,area,2.22,..
0.58546073,14.77632916,0.385319383,14.00276822,15.54989009,1,rarefied_richness,rf,area,3.85,..
1.097604329,14.74168182,0.283340495,14.17285204,15.3105116,1,rarefied_richness,rf,area,12.52,..
1.19838213,14.73486404,0.266224623,14.20039581,15.26933228,1,rarefied_richness,rf,area,15.79,..
1.278296208,14.72945773,0.25368179,14.22017028,15.23874517,1,rarefied_richness,rf,area,18.98,..
1.616055195,14.70660779,0.214371628,14.27623879,15.13697679,1,rarefied_richness,rf,area,41.31,..
1.865222456,14.68975123,0.204646161,14.27890692,15.10059554,1,rarefied_richness,rf,area,73.32,..
1.964401071,14.68304164,0.206159696,14.26915878,15.0969245,1,rarefied_richness,rf,area,92.13,..
2.010427173,14.6799279,0.207904845,14.26254151,15.09731429,1,rarefied_richness,rf,area,102.43,..
2.014100322,14.6796794,0.20807198,14.26195747,15.09740133,1,rarefied_richness,rf,area,103.3,..
2.016657345,14.67950642,0.208190735,14.26154608,15.09746676,1,rarefied_richness,rf,area,103.91,..
2.0533858,14.67702168,0.210112214,14.25520381,15.09883955,1,rarefied_richness,rf,area,113.08,..
2.242913947,14.6641998,0.226008481,14.21046884,15.11793075,1,rarefied_richness,rf,area,174.95,..
2.402244182,14.65342085,0.246003969,14.15954727,15.14729443,1,rarefied_richness,rf,area,252.49,..
2.514547753,14.64582333,0.262967006,14.11789504,15.17375163,1,rarefied_richness,rf,area,327,..
2.931595155,14.61760941,0.339928837,13.93517379,15.30004503,1,rarefied_richness,rf,area,854.27,..
3.149554714,14.6028641,0.385733774,13.82847123,15.37725696,1,rarefied_richness,rf,area,1411.09,..
3.634475255,14.57005845,0.494851445,13.57660272,15.56351418,1,rarefied_richness,rf,area,4309.98,..
-0.173925197,2.50839705,0.178047023,2.150952736,2.865841363,1,rarefied_richness,oc,area,0.67,-21.03157548
0.346352974,2.43632596,0.139470661,2.156326925,2.716324996,1,rarefied_richness,oc,area,2.22,..
0.58546073,2.403203763,0.122548196,2.157177994,2.649229532,1,rarefied_richness,oc,area,3.85,..
1.097604329,2.332259508,0.089741093,2.152096746,2.51242227,1,rarefied_richness,oc,area,12.52,..
1.19838213,2.31829935,0.084199664,2.14926147,2.48733723,1,rarefied_richness,oc,area,15.79,..
1.278296208,2.30722932,0.080126783,2.146368091,2.468090549,1,rarefied_richness,oc,area,18.98,..
1.616055195,2.260441545,0.067232152,2.125467368,2.395415723,1,rarefied_richness,oc,area,41.31,..
1.865222456,2.225925863,0.06388307,2.097675249,2.354176478,1,rarefied_richness,oc,area,73.32,..
1.964401071,2.21218723,0.064293648,2.083112345,2.341262115,1,rarefied_richness,oc,area,92.13,..
2.010427173,2.205811504,0.06482351,2.075672878,2.33595013,1,rarefied_richness,oc,area,102.43,..
2.014100322,2.205302684,0.064874871,2.075060946,2.335544422,1,rarefied_richness,oc,area,103.3,..
2.016657345,2.204948475,0.064911409,2.074633382,2.335263567,1,rarefied_richness,oc,area,103.91,..
2.0533858,2.199860697,0.065506522,2.068350867,2.331370527,1,rarefied_richness,oc,area,113.08,..
2.242913947,2.173606472,0.070525711,2.0320202,2.315192744,1,rarefied_richness,oc,area,174.95,..
2.402244182,2.151535387,0.076900811,1.997150567,2.305920208,1,rarefied_richness,oc,area,252.49,..
2.514547753,2.135978631,0.082322487,1.970709343,2.301247919,1,rarefied_richness,oc,area,327,..
2.931595155,2.078207496,0.106938871,1.863518755,2.292896238,1,rarefied_richness,oc,area,854.27,..
3.149554714,2.048014834,0.121580599,1.803931598,2.292098071,1,rarefied_richness,oc,area,1411.09,..
3.634475255,1.980841631,0.156427185,1.666800953,2.294882309,1,rarefied_richness,oc,area,4309.98,..
-0.173925197,4.02929224,0.296650349,3.433741815,4.624842666,1,rarefied_richness,rr,area,0.67,8.578301629
0.346352974,4.076511924,0.232656357,3.609434798,4.543589051,1,rarefied_richness,rr,area,2.22,..
0.58546073,4.098212994,0.204660024,3.687340852,4.509085135,1,rarefied_richness,rr,area,3.85,..
1.097604329,4.144694396,0.150681097,3.842189471,4.447199321,1,rarefied_richness,rr,area,12.52,..
1.19838213,4.153840841,0.141637275,3.869492147,4.438189535,1,rarefied_richness,rr,area,15.79,..
1.278296208,4.161093726,0.135015094,3.890039615,4.432147837,1,rarefied_richness,rr,area,18.98,..
1.616055195,4.191748236,0.114316409,3.962248469,4.421248004,1,rarefied_richness,rr,area,41.31,..
1.865222456,4.214362292,0.10926131,3.99501106,4.433713524,1,rarefied_richness,rr,area,73.32,..
1.964401071,4.223363597,0.110093487,4.0023417,4.444385495,1,rarefied_richness,rr,area,92.13,..
2.010427173,4.227540859,0.111029838,4.004639159,4.450442559,1,rarefied_richness,rr,area,102.43,..
2.014100322,4.227874229,0.111119261,4.004793003,4.450955454,1,rarefied_richness,rr,area,103.3,..
2.016657345,4.2281063,0.111182781,4.004897553,4.451315048,1,rarefied_richness,rr,area,103.91,..
2.0533858,4.231439721,0.112208951,4.006170852,4.45670859,1,rarefied_richness,rr,area,113.08,..
2.242913947,4.248641018,0.120659562,4.006406839,4.490875197,1,rarefied_richness,rr,area,174.95,..
2.402244182,4.263101596,0.131265094,3.999575923,4.526627269,1,rarefied_richness,rr,area,252.49,..
2.514547753,4.273294104,0.140257394,3.991715635,4.554872573,1,rarefied_richness,rr,area,327,..
2.931595155,4.311144715,0.181053404,3.94766484,4.674624589,1,rarefied_richness,rr,area,854.27,..
3.149554714,4.330926405,0.205340044,3.918689065,4.743163744,1,rarefied_richness,rr,area,1411.09,..
3.634475255,4.374937082,0.263214317,3.846512292,4.903361872,1,rarefied_richness,rr,area,4309.98,..
-0.173925197,54.13091144,7.371695282,39.33161563,68.93020725,1,Jackknife_richness,all,area,0.67,26.33117126
0.346352974,56.07810226,5.79239979,44.44937446,67.70683007,1,Jackknife_richness,all,area,2.22,..
0.58546073,56.97298591,5.103727197,46.72682602,67.2191458,1,Jackknife_richness,all,area,3.85,..
1.097604329,58.88973232,3.784303316,51.2924264,66.48703824,1,Jackknife_richness,all,area,12.52,..
1.19838213,59.26690288,3.565244025,52.10937684,66.42442892,1,Jackknife_richness,all,area,15.79,..
1.278296208,59.56598896,3.405491807,52.72917888,66.40279905,1,Jackknife_richness,all,area,18.98,..
1.616055195,60.83008428,2.91273948,54.98251577,66.67765279,1,Jackknife_richness,all,area,41.31,..
1.865222456,61.76261659,2.799824537,56.14173429,67.38349889,1,Jackknife_richness,all,area,73.32,..
1.964401071,62.13380204,2.823555076,56.4652787,67.80232539,1,Jackknife_richness,all,area,92.13,..
2.010427173,62.30605913,2.847783868,56.58889446,68.02322381,1,Jackknife_richness,all,area,102.43,..
2.014100322,62.31980624,2.850070318,56.59805133,68.04156116,1,Jackknife_richness,all,area,103.3,..
2.016657345,62.32937615,2.851692472,56.60436462,68.05438767,1,Jackknife_richness,all,area,103.91,..
2.0533858,62.4668359,2.877724531,56.68956284,68.24410897,1,Jackknife_richness,all,area,113.08,..
2.242913947,63.17616312,3.087921326,56.97690238,69.37542386,1,Jackknife_richness,all,area,174.95,..
2.402244182,63.77247177,3.349207661,57.04865683,70.49628671,1,Jackknife_richness,all,area,252.49,..
2.514547753,64.19277862,3.570326634,57.02504882,71.36050843,1,Jackknife_richness,all,area,327,..
2.931595155,65.75361842,4.574111142,56.57070713,74.93652971,1,Jackknife_richness,all,area,854.27,..
3.149554714,66.56935292,5.172839341,56.18444461,76.95426123,1,Jackknife_richness,all,area,1411.09,..
3.634475255,68.38421443,6.602371888,55.12939978,81.63902908,1,Jackknife_richness,all,area,4309.98,..
-0.173925197,36.97367923,5.254944679,26.42393758,47.52342088,1,Jackknife_richness,rf,area,0.67,65.39516861
0.346352974,40.27685231,4.119337328,32.00693755,48.54676707,1,Jackknife_richness,rf,area,2.22,..
0.58546073,41.79491388,3.622031391,34.52338245,49.06644532,1,Jackknife_richness,rf,area,3.85,..
1.097604329,45.0464417,2.661277264,39.70370466,50.38917875,1,Jackknife_richness,rf,area,12.52,..
1.19838213,45.68626582,2.499837587,40.66763245,50.70489919,1,Jackknife_richness,rf,area,15.79,..
1.278296208,46.19362908,2.381467798,41.41263298,50.97462518,1,Jackknife_richness,rf,area,18.98,..
1.616055195,48.33801348,2.009811092,44.30314935,52.37287761,1,Jackknife_richness,rf,area,41.31,..
1.865222456,49.91994144,1.917051802,46.07129936,53.76858353,1,Jackknife_richness,rf,area,73.32,..
1.964401071,50.54961255,1.930926263,46.67311632,54.42610877,1,Jackknife_richness,rf,area,92.13,..
2.010427173,50.8418258,1.9472101,46.93263841,54.7510132,1,Jackknife_richness,rf,area,102.43,..
2.014100322,50.86514611,1.94877274,46.95282159,54.77747064,1,Jackknife_richness,rf,area,103.3,..
2.016657345,50.88138029,1.949883273,46.96682628,54.79593431,1,Jackknife_richness,rf,area,103.91,..
2.0533858,51.1145641,1.967871671,47.16389687,55.06523133,1,Jackknife_richness,rf,area,113.08,..
2.242913947,52.3178517,2.117170323,48.06745492,56.56824848,1,Jackknife_richness,rf,area,174.95,..
2.402244182,53.329417,2.305273457,48.70138742,57.95744658,1,Jackknife_richness,rf,area,252.49,..
2.514547753,54.0424166,2.464912277,49.09389872,58.99093449,1,Jackknife_richness,rf,area,327,..
2.931595155,56.69019202,3.189251385,50.2875027,63.09288134,1,Jackknife_richness,rf,area,854.27,..
3.149554714,58.07398666,3.620286532,50.80595818,65.34201515,1,Jackknife_richness,rf,area,1411.09,..
3.634475255,61.15267911,4.646907428,51.82362317,70.48173504,1,Jackknife_richness,rf,area,4309.98,..
-0.173925197,14.6408087,2.643393651,9.33397451,19.94764289,1,Jackknife_richness,oc,area,0.67,-44.5950654
0.346352974,13.74884975,2.07405545,9.58500969,17.91268981,1,Jackknife_richness,oc,area,2.22,..
0.58546073,13.33892615,1.825182994,9.674718391,17.0031339,1,Jackknife_richness,oc,area,3.85,..
1.097604329,12.46091301,1.346114224,9.758475944,15.16335008,1,Jackknife_richness,oc,area,12.52,..
1.19838213,12.2881407,1.266037701,9.74646396,14.82981744,1,Jackknife_richness,oc,area,15.79,..
1.278296208,12.15113692,1.207465421,9.727048937,14.5752249,1,Jackknife_richness,oc,area,18.98,..
1.616055195,11.57208677,1.025034635,9.514243875,13.62992967,1,Jackknife_richness,oc,area,41.31,..
1.865222456,11.14491727,0.981232317,9.175011192,13.11482334,1,Jackknife_richness,oc,area,73.32,..
1.964401071,10.97488658,0.988966878,8.989452729,12.96032044,1,Jackknife_richness,oc,area,92.13,..
2.010427173,10.89597996,0.997417527,8.893580721,12.8983792,1,Jackknife_richness,oc,area,102.43,..
2.014100322,10.88968276,0.998221775,8.885668921,12.89369659,1,Jackknife_richness,oc,area,103.3,..
2.016657345,10.88529902,0.998792853,8.880138702,12.89045935,1,Jackknife_richness,oc,area,103.91,..
2.0533858,10.82233218,1.008000825,8.798686083,12.84597828,1,Jackknife_richness,oc,area,113.08,..
2.242913947,10.49740729,1.083397768,8.322395514,12.67241907,1,Jackknife_richness,oc,area,174.95,..
2.402244182,10.22425336,1.177754394,7.85981275,12.58869396,1,Jackknife_richness,oc,area,252.49,..
2.514547753,10.0317214,1.257707965,7.506767301,12.5566755,1,Jackknife_richness,oc,area,327,..
2.931595155,9.316740097,1.620445537,6.063559937,12.56992026,1,Jackknife_richness,oc,area,854.27,..
3.149554714,8.94307272,1.83647831,5.256188671,12.62995677,1,Jackknife_richness,oc,area,1411.09,..
3.634475255,8.111730486,2.35150971,3.390877756,12.83258322,1,Jackknife_richness,oc,area,4309.98,..
-0.173925197,8.280921138,1.512260919,5.24493066,11.31691162,1,Jackknife_richness,rr,area,0.67,71.15644203
0.346352974,9.085902584,1.185952491,6.705003611,11.46680156,1,Jackknife_richness,rr,area,2.22,..
0.58546073,9.455853347,1.043178745,7.361584628,11.55012207,1,Jackknife_richness,rr,area,3.85,..
1.097604329,10.24824887,0.767827631,8.706770582,11.78972716,1,Jackknife_richness,rr,area,12.52,..
