x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,x_backtrans,percent_change
1.19838213,10.40417365,0.721676407,8.955347811,11.8529995,1,Jackknife_richness,rr,area,15.79,..
1.278296208,10.5278178,0.687877004,9.146847089,11.90878851,1,Jackknife_richness,rr,area,18.98,..
1.616055195,11.05040309,0.582169034,9.881649981,12.21915619,1,Jackknife_richness,rr,area,41.31,..
1.865222456,11.43591805,0.556279062,10.31914124,12.55269487,1,Jackknife_richness,rr,area,73.32,..
1.964401071,11.58936855,0.560489645,10.46413864,12.71459847,1,Jackknife_richness,rr,area,92.13,..
2.010427173,11.66058076,0.565252103,10.52578981,12.79537171,1,Jackknife_richness,rr,area,102.43,..
2.014100322,11.66626391,0.565707203,10.53055931,12.80196851,1,Jackknife_richness,rr,area,103.3,..
2.016657345,11.67022017,0.566030495,10.53386653,12.8065738,1,Jackknife_richness,rr,area,103.91,..
2.0533858,11.72704693,0.571255035,10.58020459,12.87388927,1,Jackknife_richness,rr,area,113.08,..
2.242913947,12.02028745,0.614322289,10.786984,13.25359091,1,Jackknife_richness,rr,area,174.95,..
2.402244182,12.26680535,0.668398405,10.92493956,13.60867114,1,Jackknife_richness,rr,area,252.49,..
2.514547753,12.44056296,0.714254098,11.00663803,13.8744879,1,Jackknife_richness,rr,area,327,..
2.931595155,13.08582436,0.922292435,11.23424504,14.93740369,1,Jackknife_richness,rr,area,854.27,..
3.149554714,13.42305435,1.046134072,11.32285256,15.52325613,1,Jackknife_richness,rr,area,1411.09,..
3.634475255,14.17332999,1.34122375,11.48071095,16.86594902,1,Jackknife_richness,rr,area,4309.98,..
-0.173925197,61.83284904,5.397044833,50.94117161,72.72452646,1,density,all,area,0.67,-55.63255789
0.346352974,57.13346125,4.239703453,48.57739329,65.68952922,1,density,all,area,2.22,..
0.58546073,54.97373185,3.735138265,47.43591766,62.51154604,1,density,all,area,3.85,..
1.097604329,50.34781921,2.769003175,44.75974456,55.93589385,1,density,all,area,12.52,..
1.19838213,49.43754852,2.608770891,44.17283572,54.70226132,1,density,all,area,15.79,..
1.278296208,48.71572842,2.491989189,43.68669064,53.74476621,1,density,all,area,18.98,..
1.616055195,45.66493647,2.132705194,41.36096314,49.9689098,1,density,all,area,41.31,..
1.865222456,43.41434506,2.051853983,39.27353609,47.55515404,1,density,all,area,73.32,..
1.964401071,42.51851895,2.070044544,38.34099994,46.69603797,1,density,all,area,92.13,..
2.010427173,42.10279039,2.08816559,37.88870162,46.31687916,1,density,all,area,102.43,..
2.014100322,42.06961284,2.089870033,37.85208437,46.28714132,1,density,all,area,103.3,..
2.016657345,42.04651665,2.091078858,37.82654867,46.26648463,1,density,all,area,103.91,..
2.0533858,41.71476863,2.110441063,37.45572614,45.97381113,1,density,all,area,113.08,..
2.242913947,40.00286468,2.265826257,35.43024217,44.57548719,1,density,all,area,174.95,..
2.402244182,38.56372192,2.458235606,33.60280163,43.52464222,1,density,all,area,252.49,..
2.514547753,37.54934528,2.620822344,32.26031166,42.8383789,1,density,all,area,327,..
2.931595155,33.7823845,3.357823096,27.00602315,40.55874585,1,density,all,area,854.27,..
3.149554714,31.81367517,3.797061775,24.15089428,39.47645606,1,density,all,area,1411.09,..
3.634475255,27.4336535,4.845401517,17.65523736,37.21206965,1,density,all,area,4309.98,..
-0.173925197,38.37876992,4.95471402,28.37975222,48.37778763,1,density,rf,area,0.67,-22.70133916
0.346352974,37.18852723,3.879500433,29.35937839,45.01767607,1,density,rf,area,2.22,..
0.58546073,36.64151935,3.407775301,29.76435036,43.51868833,1,density,rf,area,3.85,..
1.097604329,35.46988615,2.493167761,30.43846991,40.50130239,1,density,rf,area,12.52,..
1.19838213,35.23933632,2.338693618,30.51966152,39.95901112,1,density,rf,area,15.79,..
1.278296208,35.05651653,2.225173329,30.56593495,39.54709811,1,density,rf,area,18.98,..
1.616055195,34.28382379,1.866144232,30.51779226,38.04985531,1,density,rf,area,41.31,..
1.865222456,33.71380273,1.773729566,30.13427155,37.29333391,1,density,rf,area,73.32,..
1.964401071,33.48691137,1.785708107,29.88320651,37.09061622,1,density,rf,area,92.13,..
2.010427173,33.38161725,1.800746667,29.74756335,37.01567115,1,density,rf,area,102.43,..
2.014100322,33.37321417,1.802200229,29.73622687,37.01020148,1,density,rf,area,103.3,..
2.016657345,33.36736446,1.803233989,29.72829094,37.00643798,1,density,rf,area,103.91,..
2.0533858,33.28334061,1.820044329,29.61034245,36.95633877,1,density,rf,area,113.08,..
2.242913947,32.84975622,1.961115667,28.89206457,36.80744786,1,density,rf,area,174.95,..
2.402244182,32.48525573,2.139721579,28.16712276,36.8033887,1,density,rf,area,252.49,..
2.514547753,32.22833835,2.291404236,27.60409739,36.85257931,1,density,rf,area,327,..
2.931595155,31.27425714,2.979015849,25.26235976,37.28615452,1,density,rf,area,854.27,..
3.149554714,30.77563009,3.387584558,23.93920767,37.6120525,1,density,rf,area,1411.09,..
3.634475255,29.6662752,4.359412186,20.86862523,38.46392517,1,density,rf,area,4309.98,..
-0.173925197,19.46855993,2.270350729,14.88680666,24.05031319,1,density,oc,area,0.67,-70.15582079
0.346352974,17.6026506,1.778000591,14.01450014,21.19080106,1,density,oc,area,2.22,..
0.58546073,16.74512204,1.559554732,13.59781317,19.89243091,1,density,oc,area,3.85,..
1.097604329,14.90838629,1.125504214,12.63702683,17.17974575,1,density,oc,area,12.52,..
1.19838213,14.54695994,1.04929777,12.42939131,16.66452857,1,density,oc,area,15.79,..
1.278296208,14.2603586,0.992205137,12.25800756,16.26270963,1,density,oc,area,18.98,..
1.616055195,13.04903035,0.798187184,11.4382234,14.6598373,1,density,oc,area,41.31,..
1.865222456,12.1554247,0.728987998,10.68426736,13.62658204,1,density,oc,area,73.32,..
1.964401071,11.79973362,0.724521371,10.3375903,13.26187694,1,density,oc,area,92.13,..
2.010427173,11.63466705,0.727186078,10.16714613,13.10218797,1,density,oc,area,102.43,..
2.014100322,11.62149379,0.727527507,10.15328384,13.08970374,1,density,oc,area,103.3,..
2.016657345,11.61232336,0.727776363,10.1436112,13.08103552,1,density,oc,area,103.91,..
2.0533858,11.48060158,0.73235654,10.00264625,12.95855691,1,density,oc,area,113.08,..
2.242913947,10.80088377,0.784225089,9.21825347,12.38351408,1,density,oc,area,174.95,..
2.402244182,10.22946681,0.859284182,8.495361126,11.96357249,1,density,oc,area,252.49,..
2.514547753,9.826704806,0.925596591,7.95877526,11.69463435,1,density,oc,area,327,..
2.931595155,8.331019073,1.234331172,5.840037918,10.82200023,1,density,oc,area,854.27,..
3.149554714,7.549335742,1.419362828,4.68494559,10.41372589,1,density,oc,area,1411.09,..
3.634475255,5.810231914,1.859558455,2.057491022,9.562972806,1,density,oc,area,4309.98,..
-0.173925197,11.33010147,2.157096664,6.976904162,15.68329878,1,density,rr,area,0.67,1.417393288
0.346352974,11.35204049,1.688098844,7.945319098,14.75876188,1,density,rr,area,2.22,..
0.58546073,11.36212315,1.481921842,8.371483797,14.3527625,1,density,rr,area,3.85,..
1.097604329,11.38371915,1.080482627,9.20321693,13.56422137,1,density,rr,area,12.52,..
1.19838213,11.38796873,1.012241205,9.34518328,13.43075419,1,density,rr,area,15.79,..
1.278296208,11.39133854,0.9619361,9.450072897,13.33260418,1,density,rr,area,18.98,..
1.616055195,11.40558111,0.801066284,9.788963904,13.02219832,1,density,rr,area,41.31,..
1.865222456,11.41608796,0.757363501,9.887666541,12.94450939,1,density,rr,area,73.32,..
1.964401071,11.42027011,0.761463871,9.883573808,12.95696642,1,density,rr,area,92.13,..
2.010427173,11.42221094,0.767571682,9.873188569,12.9712333,1,density,rr,area,102.43,..
2.014100322,11.42236582,0.768171694,9.872132584,12.97259907,1,density,rr,area,103.3,..
2.016657345,11.42247365,0.76859911,9.871377849,12.97356945,1,density,rr,area,103.91,..
2.0533858,11.42402241,0.775610464,9.858777123,12.9892677,1,density,rr,area,113.08,..
2.242913947,11.43201441,0.835954806,9.744989307,13.1190395,1,density,rr,area,174.95,..
2.402244182,11.43873302,0.913350775,9.595516534,13.28194951,1,density,rr,area,252.49,..
2.514547753,11.44346862,0.979323494,9.467113798,13.41982345,1,density,rr,area,327,..
2.931595155,11.46105462,1.278981935,8.879964578,14.04214466,1,density,rr,area,854.27,..
3.149554714,11.47024551,1.457058694,8.529782017,14.410709,1,density,rr,area,1411.09,..
3.634475255,11.49069357,1.880399122,7.695894507,15.28549263,1,density,rr,area,4309.98,..
-0.173925197,0.520554076,0.028775581,0.463580428,0.577527725,1,composition_bcdist,all,area,0.67,-65.62026149
0.346352974,0.473888482,0.022965736,0.428417923,0.51935904,1,composition_bcdist,all,area,2.22,..
0.58546073,0.452442059,0.020487809,0.411877622,0.493006496,1,composition_bcdist,all,area,3.85,..
1.097604329,0.406506083,0.0159281,0.374969552,0.438042613,1,composition_bcdist,all,area,12.52,..
1.278296208,0.390299187,0.014701517,0.361191206,0.419407168,1,composition_bcdist,all,area,18.98,..
1.616055195,0.360004385,0.013240107,0.333789895,0.386218876,1,composition_bcdist,all,area,41.31,..
1.865222456,0.33765569,0.013027829,0.311861495,0.363449885,1,composition_bcdist,all,area,73.32,..
1.964401071,0.328760008,0.013164496,0.302695223,0.354824793,1,composition_bcdist,all,area,92.13,..
2.0533858,0.320778652,0.013391271,0.294264868,0.347292436,1,composition_bcdist,all,area,113.08,..
2.242913947,0.3037792,0.014177911,0.275707923,0.331850477,1,composition_bcdist,all,area,174.95,..
2.514547753,0.279415401,0.015909806,0.247915092,0.31091571,1,composition_bcdist,all,area,327,..
2.931595155,0.24200894,0.019527829,0.203345198,0.280672682,1,composition_bcdist,all,area,854.27,..
3.149554714,0.222459374,0.021715804,0.179463592,0.265455155,1,composition_bcdist,all,area,1411.09,..
3.634475255,0.17896513,0.02701029,0.125486636,0.232443624,1,composition_bcdist,all,area,4309.98,..
-0.173925197,0.513290233,0.034596735,0.444791106,0.58178936,1,composition_bcdist,rf,area,0.67,-73.43629263
0.346352974,0.461795034,0.027658199,0.407033724,0.516556343,1,composition_bcdist,rf,area,2.22,..
0.58546073,0.438129037,0.024707192,0.389210516,0.487047558,1,composition_bcdist,rf,area,3.85,..
1.097604329,0.387438968,0.019304501,0.349217399,0.425660536,1,composition_bcdist,rf,area,12.52,..
1.278296208,0.369554757,0.01786333,0.334186606,0.404922908,1,composition_bcdist,rf,area,18.98,..
1.616055195,0.336124629,0.016167654,0.304113799,0.368135458,1,composition_bcdist,rf,area,41.31,..
1.865222456,0.311462979,0.015945253,0.279892488,0.343033471,1,composition_bcdist,rf,area,73.32,..
1.964401071,0.301646649,0.016117625,0.269734874,0.333558424,1,composition_bcdist,rf,area,92.13,..
2.0533858,0.292839271,0.016394899,0.260378513,0.32530003,1,composition_bcdist,rf,area,113.08,..
2.242913947,0.27408048,0.017343041,0.239742466,0.308418494,1,composition_bcdist,rf,area,174.95,..
2.514547753,0.247195176,0.019415807,0.208753228,0.285637123,1,composition_bcdist,rf,area,327,..
2.931595155,0.205917374,0.02373884,0.158916122,0.252918626,1,composition_bcdist,rf,area,854.27,..
3.149554714,0.184344548,0.02635455,0.132164372,0.236524723,1,composition_bcdist,rf,area,1411.09,..
3.634475255,0.136348915,0.032690211,0.071624573,0.201073257,1,composition_bcdist,rf,area,4309.98,..
-0.173925197,0.363143278,0.113118764,0.139175997,0.587110559,1,composition_bcdist,oc,area,0.67,34.4587024
0.346352974,0.380238311,0.090371867,0.201308304,0.559168318,1,composition_bcdist,oc,area,2.22,..
0.58546073,0.38809479,0.080687431,0.228339292,0.547850288,1,composition_bcdist,oc,area,3.85,..
1.097604329,0.404922541,0.062924495,0.280336421,0.529508661,1,composition_bcdist,oc,area,12.52,..
1.278296208,0.410859622,0.058171993,0.295683123,0.52603612,1,composition_bcdist,oc,area,18.98,..
1.616055195,0.421957533,0.052555845,0.317900617,0.526014448,1,composition_bcdist,oc,area,41.31,..
1.865222456,0.430144542,0.05179232,0.327599352,0.532689732,1,composition_bcdist,oc,area,73.32,..
1.964401071,0.433403302,0.05234774,0.329758419,0.537048185,1,composition_bcdist,oc,area,92.13,..
2.0533858,0.436327116,0.053250203,0.330895421,0.541758812,1,composition_bcdist,oc,area,113.08,..
2.242913947,0.442554535,0.056350579,0.330984309,0.55412476,1,composition_bcdist,oc,area,174.95,..
2.514547753,0.451479738,0.063143548,0.326459908,0.576499568,1,composition_bcdist,oc,area,327,..
2.931595155,0.465182867,0.077316617,0.312101346,0.618264388,1,composition_bcdist,oc,area,854.27,..
3.149554714,0.47234447,0.085889716,0.30228881,0.64240013,1,composition_bcdist,oc,area,1411.09,..
3.634475255,0.48827774,0.106646521,0.277125051,0.699430429,1,composition_bcdist,oc,area,4309.98,..
-0.173925197,0.402011022,0.033122247,0.336431278,0.467590765,1,composition_bcdist,rr,area,0.67,-69.39011493
0.346352974,0.363901933,0.026426964,0.311578383,0.416225483,1,composition_bcdist,rr,area,2.22,..
0.58546073,0.346387881,0.023569763,0.299721391,0.393054372,1,composition_bcdist,rr,area,3.85,..
1.097604329,0.30887463,0.018306559,0.272628917,0.345120343,1,composition_bcdist,rr,area,12.52,..
1.278296208,0.295639397,0.016888174,0.262201988,0.329076806,1,composition_bcdist,rr,area,18.98,..
1.616055195,0.270899387,0.015193498,0.240817319,0.300981455,1,composition_bcdist,rr,area,41.31,..
1.865222456,0.252648502,0.014941849,0.223064681,0.282232322,1,composition_bcdist,rr,area,73.32,..
1.964401071,0.245383913,0.015097146,0.215492615,0.275275212,1,composition_bcdist,rr,area,92.13,..
2.0533858,0.238866002,0.015356857,0.208460493,0.269271511,1,composition_bcdist,rr,area,113.08,..
2.242913947,0.224983534,0.01626095,0.192787985,0.257179083,1,composition_bcdist,rr,area,174.95,..
2.514547753,0.20508703,0.018255044,0.168943313,0.241230748,1,composition_bcdist,rr,area,327,..
2.931595155,0.17453934,0.022423118,0.130143128,0.218935552,1,composition_bcdist,rr,area,854.27,..
3.149554714,0.158574341,0.024943703,0.109187545,0.207961138,1,composition_bcdist,rr,area,1411.09,..
3.634475255,0.123055112,0.031042177,0.061593762,0.184516461,1,composition_bcdist,rr,area,4309.98,..
