x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
2000,23.91863556,0.468630401,22.97782077,24.85945035,1,rarefied_richness,all,season-or-time,-5.670992567
2002,23.77585408,0.420301738,22.93206314,24.61964503,1,rarefied_richness,all,season-or-time,..
2003,23.70446334,0.399562883,22.90230739,24.5066193,1,rarefied_richness,all,season-or-time,..
2004,23.6330726,0.381618102,22.8669423,24.39920291,1,rarefied_richness,all,season-or-time,..
2005,23.56168187,0.366877617,22.82514431,24.29821942,1,rarefied_richness,all,season-or-time,..
2019,22.56221152,0.541804737,21.47449312,23.64992991,1,rarefied_richness,all,season-or-time,..
2000,15.08784002,0.279084545,14.52755442,15.64812562,1,rarefied_richness,rf,season-or-time,-6.659066347
2002,14.98208115,0.250262754,14.4796577,15.48450459,1,rarefied_richness,rf,season-or-time,..
2003,14.92920171,0.237893591,14.4516104,15.40679302,1,rarefied_richness,rf,season-or-time,..
2004,14.87632228,0.227190368,14.42021858,15.33242597,1,rarefied_richness,rf,season-or-time,..
2005,14.82344284,0.218398157,14.38499025,15.26189544,1,rarefied_richness,rf,season-or-time,..
2019,14.08313074,0.322753212,13.43517663,14.73108485,1,rarefied_richness,rf,season-or-time,..
2000,2.327412405,0.091029638,2.14466278,2.510162029,1,rarefied_richness,oc,season-or-time,-12.22818299
2002,2.297454484,0.080512969,2.135817955,2.459091013,1,rarefied_richness,oc,season-or-time,..
2003,2.282475523,0.075964801,2.129969822,2.434981225,1,rarefied_richness,oc,season-or-time,..
2004,2.267496563,0.072012902,2.12292463,2.412068496,1,rarefied_richness,oc,season-or-time,..
2005,2.252517602,0.068760158,2.114475826,2.390559379,1,rarefied_richness,oc,season-or-time,..
2019,2.042812157,0.107894716,1.826204476,2.259419838,1,rarefied_richness,oc,season-or-time,..
2000,4.479269989,0.147138432,4.18387726,4.774662717,1,rarefied_richness,rr,season-or-time,-14.214683
2002,4.41224746,0.132475971,4.14629085,4.678204069,1,rarefied_richness,rr,season-or-time,..
2003,4.378736195,0.12619764,4.125383861,4.632088528,1,rarefied_richness,rr,season-or-time,..
2004,4.34522493,0.120771375,4.102766278,4.587683582,1,rarefied_richness,rr,season-or-time,..
2005,4.311713665,0.116316487,4.078198575,4.545228756,1,rarefied_richness,rr,season-or-time,..
2019,3.842555959,0.168980048,3.503314358,4.181797561,1,rarefied_richness,rr,season-or-time,..
2000,58.5254979,3.520530509,51.45773799,65.59325781,1,Jackknife_richness,all,season-or-time,15.23994958
2002,59.46436699,3.242201942,52.955375,65.97335899,1,Jackknife_richness,all,season-or-time,..
2003,59.93380154,3.12454269,53.66102035,66.20658273,1,Jackknife_richness,all,season-or-time,..
2004,60.40323609,3.023520611,54.33326518,66.47320699,1,Jackknife_richness,all,season-or-time,..
2005,60.87267063,2.940850731,54.96866643,66.77667483,1,Jackknife_richness,all,season-or-time,..
2019,67.44475428,3.897085774,59.62102812,75.26848043,1,Jackknife_richness,all,season-or-time,..
2000,48.395213,2.636172924,43.10287503,53.68755098,1,Jackknife_richness,rf,season-or-time,10.90499267
2002,48.95073873,2.357701757,44.21745495,53.68402251,1,Jackknife_richness,rf,season-or-time,..
2003,49.2285016,2.238016433,44.73549613,53.72150707,1,Jackknife_richness,rf,season-or-time,..
2004,49.50626446,2.134369749,45.22133839,53.79119053,1,Jackknife_richness,rf,season-or-time,..
2005,49.78402733,2.049196815,45.67009306,53.89796159,1,Jackknife_richness,rf,season-or-time,..
2019,53.67270743,3.062774423,47.52393121,59.82148366,1,Jackknife_richness,rf,season-or-time,..
2000,10.21253481,1.298807034,7.605070886,12.81999873,1,Jackknife_richness,oc,season-or-time,18.73775061
2002,10.41396631,1.175917244,8.053213939,12.77471869,1,Jackknife_richness,oc,season-or-time,..
2003,10.51468207,1.123461823,8.259238343,12.77012579,1,Jackknife_richness,oc,season-or-time,..
2004,10.61539782,1.078199622,8.450821757,12.77997388,1,Jackknife_richness,oc,season-or-time,..
2005,10.71611357,1.041069273,8.626079794,12.80614735,1,Jackknife_richness,oc,season-or-time,..
2019,12.12613411,1.477591275,9.159745848,15.09252237,1,Jackknife_richness,oc,season-or-time,..
2000,10.77365811,0.751230401,9.265500147,12.28181607,1,Jackknife_richness,rr,season-or-time,18.63959917
2002,10.98504407,0.675759672,9.628399924,12.34168823,1,Jackknife_richness,rr,season-or-time,..
2003,11.09073706,0.64342742,9.799002612,12.3824715,1,Jackknife_richness,rr,season-or-time,..
2004,11.19643004,0.615475715,9.960810985,12.4320491,1,Jackknife_richness,rr,season-or-time,..
2005,11.30212303,0.592524824,10.11257981,12.49166625,1,Jackknife_richness,rr,season-or-time,..
2019,12.7818248,0.864082796,11.0471062,14.51654339,1,Jackknife_richness,rr,season-or-time,..
2000,46.17350332,2.571857611,40.98328453,51.36372211,1,density,all,season-or-time,-17.65113389
2002,45.31559312,2.378456204,40.51567417,50.11551207,1,density,all,season-or-time,..
2003,44.88663802,2.29588882,40.2533468,49.51992924,1,density,all,season-or-time,..
2004,44.45768292,2.224183137,39.96909963,48.94626621,1,density,all,season-or-time,..
2019,38.02335643,2.739580047,32.49466006,43.55205279,1,density,all,season-or-time,..
2000,38.35034074,2.576316323,33.15112391,43.54955757,1,density,rf,season-or-time,-29.33186078
2002,37.16624931,2.280145092,32.56473022,41.7677684,1,density,rf,season-or-time,..
2003,36.5742036,2.150205082,32.23491407,40.91349313,1,density,rf,season-or-time,..
2004,35.98215788,2.035525411,31.8743013,40.09001447,1,density,rf,season-or-time,..
2019,27.10147219,2.90215045,21.24469546,32.95824891,1,density,rf,season-or-time,..
2000,12.04571603,1.342969331,9.3354942,14.75593787,1,density,oc,season-or-time,-3.526902077
2002,12.00099597,1.119210833,9.742337066,14.25965487,1,density,oc,season-or-time,..
2003,11.97863594,1.017344568,9.925551479,14.0317204,1,density,oc,season-or-time,..
2004,11.95627591,0.925146665,10.08925435,13.82329746,1,density,oc,season-or-time,..
2019,11.62087542,1.671947358,8.246749054,14.9950018,1,density,oc,season-or-time,..
2000,11.93927111,1.151424601,9.615602188,14.26294003,1,density,rr,season-or-time,-10.15397584
2002,11.81165945,1.006388622,9.78068499,13.84263392,1,density,rr,season-or-time,..
2003,11.74785363,0.942268438,9.846278935,13.64942832,1,density,rr,season-or-time,..
2004,11.6840478,0.885405505,9.897227152,13.47086845,1,density,rr,season-or-time,..
2019,10.7269604,1.3219688,8.059119357,13.39480145,1,density,rr,season-or-time,..
5,0.257995073,0.015659337,0.226990675,0.288999472,1,composition_bcdist,all,season-or-time,37.99663691
14,0.321014006,0.013537245,0.294211203,0.347816809,1,composition_bcdist,all,season-or-time,..
19,0.356024525,0.013846909,0.328608609,0.38344044,1,composition_bcdist,all,season-or-time,..
5,0.249562505,0.018225595,0.213477096,0.285647915,1,composition_bcdist,rf,season-or-time,25.60357287
14,0.290639095,0.016594703,0.257782738,0.323495453,1,composition_bcdist,rf,season-or-time,..
19,0.313459423,0.016811424,0.280173973,0.346744873,1,composition_bcdist,rf,season-or-time,..
5,0.256752457,0.060364408,0.137235131,0.376269784,1,composition_bcdist,oc,season-or-time,120.3542359
14,0.455403323,0.053873647,0.348737252,0.562069395,1,composition_bcdist,oc,season-or-time,..
19,0.565764916,0.054766931,0.457330203,0.674199628,1,composition_bcdist,oc,season-or-time,..
5,0.192033822,0.018127733,0.156142173,0.227925471,1,composition_bcdist,rr,season-or-time,37.75156426
14,0.238638247,0.015520333,0.207909068,0.269367425,1,composition_bcdist,rr,season-or-time,..
19,0.264529594,0.015907891,0.233033077,0.29602611,1,composition_bcdist,rr,season-or-time,..
